run_accession,fastq_ftp,fastq_md5,fastq_bytes
SRR3987298,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/008/SRR3987298/SRR3987298.fastq.gz,4bb61f5f2b827d73d4a674c0ba0ad9ef,1698351361
SRR3987299,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/009/SRR3987299/SRR3987299.fastq.gz,e87ab7a7e89a3dc93685c2f1d02572cf,1663698682
SRR3987300,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/000/SRR3987300/SRR3987300.fastq.gz,c3a49bed605c453f631b44c1c95ba1e1,1629312907
SRR3987301,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/001/SRR3987301/SRR3987301.fastq.gz,e24fa22b7f283475ee8904bfc36b0db9,1532560223
SRR3987302,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/002/SRR3987302/SRR3987302.fastq.gz,aef061d86866c0f368307075808de9f6,2731742866
SRR3987303,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/003/SRR3987303/SRR3987303.fastq.gz,c6a8c49ea0a2b08b7ba363301d00b200,2458107948
SRR3987304,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/004/SRR3987304/SRR3987304.fastq.gz,4ddb33790b9f2ea764c5146fb430f42a,2410579091
SRR3987305,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/005/SRR3987305/SRR3987305.fastq.gz,396735d70dd939fc21ab242429c17d94,1232411326
SRR3987306,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/006/SRR3987306/SRR3987306.fastq.gz,bac2d834b4a7a4bcdfa315758eeaf9f6,1079518156
SRR3987307,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/007/SRR3987307/SRR3987307.fastq.gz,6da7010b48279cf401b4eb66b8601885,1187869214
SRR3987308,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/008/SRR3987308/SRR3987308.fastq.gz,e184d792eb3abfb23fa809179b5b5fc5,1235375982
SRR3987309,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/009/SRR3987309/SRR3987309.fastq.gz,c47a8f6af1fa5ce5450bff271c5a1f0c,1117623904
SRR3987310,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/000/SRR3987310/SRR3987310.fastq.gz,11442b1536dc6f582ae7970f85c3097f,1093874904
