gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,up_down
CHLRE_01g019100v5,64.06262939794642,1.0496973366100857,0.2520253933102927,4.165045921851622,3.1128990104171594e-5,1.616335566145761e-4,NONE
CHLRE_01g019150v5,113.1328289047015,1.0650572211413396,0.3055228160484574,3.486015332394738,4.90272903784462e-4,0.001887276016878983,NONE
CHLRE_01g019250v5,2737.1218247378056,1.0004702242127785,0.19978408763500374,5.007757304678795,5.506790907561269e-7,4.247543912843446e-6,NONE
CHLRE_01g021700v5,2172.8547096561356,-1.0188651514770641,0.19064876547289017,-5.344200099852965,9.081720061912506e-8,8.139491605489083e-7,NONE
CHLRE_01g023050v5,160.27207835252182,1.3519280412926058,0.2467866780802302,5.478124069781007,4.2985869472972974e-8,4.062349418216603e-7,NONE
CHLRE_01g023500v5,130.67159980577327,-1.0788199205565083,0.2015204021562855,-5.353402975644367,8.631532681899285e-8,7.769792874301372e-7,NONE
CHLRE_01g024050v5,1381.4459369405254,-2.6919375185209455,0.2603217343096392,-10.340809712488415,4.606288828773462e-25,4.019169792344082e-23,DOWN
CHLRE_01g024100v5,57.85346805234441,1.0728808035721085,0.2650020759521566,4.048575090278939,5.153040171520242e-5,2.538953853257852e-4,NONE
CHLRE_01g024200v5,152.28623875253763,1.9863112149923412,0.27606268277876556,7.195145664016296,6.239411814460296e-13,1.3041082412200855e-11,NONE
CHLRE_01g024500v5,462.9560857531887,1.469492770908505,0.2568156569881402,5.721975007841389,1.0529279961797884e-8,1.1267901093446392e-7,NONE
CHLRE_01g024950v5,817.7299503350398,1.0233170058719727,0.12333553459062062,8.297016827053131,1.0675826207552071e-16,3.786130107284757e-15,NONE
CHLRE_01g025200v5,112.07262140443746,-1.4243473123777477,0.26802022905208384,-5.314327643906897,1.0705185171495707e-7,9.476071318472125e-7,NONE
CHLRE_01g025500v5,25.801874968825487,1.7700490469706063,0.4238941522799451,4.175686400603242,2.9708886581015187e-5,1.5494283637176517e-4,NONE
